 j b k| | Nmumu |  Nee  | Nb/0b | stat  |MC stat| ttz SF| syst+ | syst- | sysKin| sysPur
 0 0 0| |   2908|   2242| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 1| |    177|    133| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 2| |     13|     11| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 3| |   2679|   2026| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 4| |    555|    399| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 5| |     21|     15| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 6| |    204|    172| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 7| |      9|      6| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 8| |     33|     23| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 9| |      0|      2| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 1 0| |    281|    184| 0.0889| 0.0319| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0122
 0 1 1| |     24|     15| 0.1049| 0.0319| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0122
 0 1 2| |      1|      0| 0.1057| 0.0319| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0122
 0 1 3| |    253|    174| 0.0888| 0.0319| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0122
 0 1 4| |     54|     50| 0.1035| 0.0319| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0122
 0 1 5| |      1|      0| 0.1083| 0.0319| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0122
 0 1 6| |     15|     19| 0.0927| 0.0319| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0122
 0 1 7| |      1|      0| 0.1034| 0.0319| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0122
 0 1 8| |      1|      2| 0.0940| 0.0319| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0122
 0 1 9| |      0|      0| 0.1023| 0.0319| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0122
 0 2 0| |     29|     19| 0.0094| 0.0925| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0230
 0 2 1| |      3|      0| 0.0128| 0.0925| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0230
 0 2 2| |      1|      0| 0.0130| 0.0925| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0230
 0 2 3| |     27|     22| 0.0094| 0.0925| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0230
 0 2 4| |     10|      3| 0.0125| 0.0925| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0230
 0 2 5| |      0|      0| 0.0136| 0.0925| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0230
 0 2 6| |      0|      2| 0.0102| 0.0925| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0230
 0 2 7| |      0|      0| 0.0125| 0.0925| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0230
 0 2 8| |      1|      1| 0.0105| 0.0925| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0230
 0 2 9| |      0|      0| 0.0123| 0.0925| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0230
 1 0 0| |    495|    381| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 1| |    119|    109| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 2| |     10|      8| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 3| |    431|    320| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 4| |    360|    249| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 5| |     30|     24| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 6| |     68|     67| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 7| |     10|      5| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 8| |      9|      7| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 9| |      0|      2| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 1 0| |    101|     62| 0.1761| 0.0487| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0144
 1 1 1| |     24|     17| 0.1846| 0.0487| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0144
 1 1 2| |      2|      1| 0.1875| 0.0487| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0144
 1 1 3| |     86|     56| 0.1758| 0.0487| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0144
 1 1 4| |     66|     51| 0.1833| 0.0487| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0144
 1 1 5| |      6|      4| 0.1894| 0.0487| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0144
 1 1 6| |      9|     10| 0.1803| 0.0487| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0144
 1 1 7| |      1|      3| 0.1846| 0.0487| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0144
 1 1 8| |      0|      0| 0.1785| 0.0487| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0144
 1 1 9| |      0|      0| 0.1846| 0.0487| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0144
 1 2 0| |     17|      7| 0.0285| 0.1089| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0329
 1 2 1| |      4|      5| 0.0298| 0.1089| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0329
 1 2 2| |      0|      0| 0.0303| 0.1089| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0329
 1 2 3| |     17|     14| 0.0284| 0.1089| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0329
 1 2 4| |     13|      7| 0.0296| 0.1089| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0329
 1 2 5| |      0|      1| 0.0306| 0.1089| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0329
 1 2 6| |      0|      1| 0.0291| 0.1089| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0329
 1 2 7| |      0|      0| 0.0298| 0.1089| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0329
 1 2 8| |      1|      0| 0.0289| 0.1089| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0329
 1 2 9| |      0|      0| 0.0298| 0.1089| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0329
 1 3 0| |      2|      1| 0.0019| 0.4087| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0329
 1 3 1| |      0|      0| 0.0025| 0.4087| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0329
 1 3 2| |      0|      0| 0.0027| 0.4087| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0329
 1 3 3| |      0|      0| 0.0018| 0.4087| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0329
 1 3 4| |      2|      0| 0.0024| 0.4087| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0329
 1 3 5| |      0|      0| 0.0029| 0.4087| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0329
 1 3 6| |      0|      0| 0.0022| 0.4087| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0329
 1 3 7| |      0|      0| 0.0025| 0.4087| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0329
 1 3 8| |      1|      0| 0.0020| 0.4087| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0329
 1 3 9| |      0|      0| 0.0025| 0.4087| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0329
 2 0 0| |     35|     26| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0141
 2 0 1| |     26|     27| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0141
 2 0 2| |      1|      4| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0141
 2 0 3| |     20|     24| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0141
 2 0 4| |     69|     49| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0141
 2 0 5| |     10|      7| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0141
 2 0 6| |     12|      6| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0141
 2 0 7| |      6|      4| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0141
 2 0 8| |      3|      2| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0141
 2 0 9| |      1|      2| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0141
 2 1 0| |      7|      4| 0.2642| 0.1177| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0247
 2 1 1| |     13|      7| 0.2649| 0.1177| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0247
 2 1 2| |      1|      1| 0.2655| 0.1177| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0247
 2 1 3| |      5|      4| 0.2642| 0.1177| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0247
 2 1 4| |     21|     16| 0.2649| 0.1177| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0247
 2 1 5| |      2|      5| 0.2655| 0.1177| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0247
 2 1 6| |      2|      2| 0.2647| 0.1177| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0247
 2 1 7| |      0|      1| 0.2650| 0.1177| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0247
 2 1 8| |      0|      0| 0.2647| 0.1177| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0247
 2 1 9| |      0|      1| 0.2661| 0.1177| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0247
 2 2 0| |      0|      2| 0.0693| 0.2001| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0497
 2 2 1| |      0|      3| 0.0728| 0.2001| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0497
 2 2 2| |      0|      0| 0.0763| 0.2001| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0497
 2 2 3| |      3|      1| 0.0690| 0.2001| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0497
 2 2 4| |      6|      8| 0.0730| 0.2001| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0497
 2 2 5| |      1|      1| 0.0762| 0.2001| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0497
