 j b k| | Nmumu |  Nee  | Nb/0b | stat  |MC stat| ttz SF| syst+ | syst- | sysKin| sysPur
 0 0 0| |   1592|   1268| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 1| |    110|     82| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 2| |      8|      4| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 3| |   1511|   1191| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 4| |    336|    226| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 5| |     14|      5| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 6| |    124|    116| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 7| |      5|      6| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 8| |      8|     10| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 9| |      0|      2| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 1 0| |    188|    134| 0.0961| 0.0410| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 1| |     10|      4| 0.1034| 0.0410| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 2| |      0|      1| 0.1037| 0.0410| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 3| |    137|    110| 0.0959| 0.0410| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 4| |     29|     24| 0.1024| 0.0410| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 5| |      1|      0| 0.1038| 0.0410| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 6| |      6|      7| 0.0978| 0.0410| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 7| |      0|      1| 0.1027| 0.0410| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 8| |      1|      1| 0.0973| 0.0410| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 9| |      0|      1| 0.1018| 0.0410| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 2 0| |     20|      9| 0.0101| 0.1185| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0230
 0 2 1| |      3|      0| 0.0132| 0.1185| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0230
 0 2 2| |      0|      0| 0.0133| 0.1185| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0230
 0 2 3| |     14|     13| 0.0100| 0.1185| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0230
 0 2 4| |      7|      5| 0.0127| 0.1185| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0230
 0 2 5| |      0|      0| 0.0133| 0.1185| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0230
 0 2 6| |      1|      0| 0.0108| 0.1185| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0230
 0 2 7| |      0|      0| 0.0129| 0.1185| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0230
 0 2 8| |      0|      0| 0.0106| 0.1185| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0230
 0 2 9| |      0|      0| 0.0125| 0.1185| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0230
 1 0 0| |    302|    208| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 1| |     89|     59| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 2| |      8|      7| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 3| |    193|    198| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 4| |    191|    164| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 5| |     18|     14| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 6| |     29|     38| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 7| |      6|      7| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 8| |     10|      4| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 9| |      0|      0| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 1 0| |     52|     38| 0.1905| 0.0621| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0145
 1 1 1| |     21|     23| 0.2023| 0.0621| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0145
 1 1 2| |      0|      0| 0.2123| 0.0621| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0145
 1 1 3| |     44|     41| 0.1900| 0.0621| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0145
 1 1 4| |     33|     32| 0.2019| 0.0621| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0145
 1 1 5| |      3|      5| 0.2106| 0.0621| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0145
 1 1 6| |      8|      7| 0.1952| 0.0621| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0145
 1 1 7| |      0|      2| 0.2074| 0.0621| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0145
 1 1 8| |      2|      1| 0.1941| 0.0621| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0145
 1 1 9| |      0|      0| 0.2242| 0.0621| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0145
 1 2 0| |      5|      6| 0.0289| 0.1397| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0336
 1 2 1| |      4|      2| 0.0334| 0.1397| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0336
 1 2 2| |      1|      1| 0.0371| 0.1397| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0336
 1 2 3| |      9|      8| 0.0287| 0.1397| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0336
 1 2 4| |     10|      6| 0.0332| 0.1397| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0336
 1 2 5| |      0|      0| 0.0365| 0.1397| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0336
 1 2 6| |      0|      0| 0.0307| 0.1397| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0336
 1 2 7| |      0|      0| 0.0353| 0.1397| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0336
 1 2 8| |      1|      0| 0.0303| 0.1397| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0336
 1 2 9| |      0|      0| 0.0416| 0.1397| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0336
 1 3 0| |      1|      1| 0.0028| 0.4479| 0.0000| 0.0000| 0.0000| 0.0000| 0.2000| 0.0336
 1 3 1| |      1|      0| 0.0030| 0.4479| 0.0000| 0.0000| 0.0000| 0.0000| 0.2000| 0.0336
 1 3 2| |      0|      0| 0.0032| 0.4479| 0.0000| 0.0000| 0.0000| 0.0000| 0.2000| 0.0336
 1 3 3| |      0|      0| 0.0028| 0.4479| 0.0000| 0.0000| 0.0000| 0.0000| 0.2000| 0.0336
 1 3 4| |      1|      1| 0.0030| 0.4479| 0.0000| 0.0000| 0.0000| 0.0000| 0.2000| 0.0336
 1 3 5| |      0|      0| 0.0032| 0.4479| 0.0000| 0.0000| 0.0000| 0.0000| 0.2000| 0.0336
 1 3 6| |      0|      0| 0.0029| 0.4479| 0.0000| 0.0000| 0.0000| 0.0000| 0.2000| 0.0336
 1 3 7| |      0|      0| 0.0031| 0.4479| 0.0000| 0.0000| 0.0000| 0.0000| 0.2000| 0.0336
 1 3 8| |      0|      0| 0.0029| 0.4479| 0.0000| 0.0000| 0.0000| 0.0000| 0.2000| 0.0336
 1 3 9| |      0|      0| 0.0035| 0.4479| 0.0000| 0.0000| 0.0000| 0.0000| 0.2000| 0.0336
 2 0 0| |     17|     19| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0141
 2 0 1| |     17|     12| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0141
 2 0 2| |      5|      1| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0141
 2 0 3| |     13|     12| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0141
 2 0 4| |     38|     28| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0141
 2 0 5| |      7|      6| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0141
 2 0 6| |      4|      4| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0141
 2 0 7| |      1|      2| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0141
 2 0 8| |      1|      0| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0141
 2 0 9| |      0|      0| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0141
 2 1 0| |      3|      2| 0.2003| 0.1760| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0245
 2 1 1| |      6|      2| 0.2020| 0.1760| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0245
 2 1 2| |      1|      0| 0.2034| 0.1760| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0245
 2 1 3| |      5|      3| 0.1995| 0.1760| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0245
